id,cctv,electronic_payment,security_lighting,security_gates,security_guards,security_key,sheltered_parking,underground_parking,restrooms,twentyfour_hours_access,arranged_transfer,car_wash
20474908,0.05742685876247887,0.23358599138500216,0.053355895631963746,0.03819058815960792,0.1283608466475447,0.021233837056501535,0.08937291451284698,0.38571015180156576,0.20164674449187514,0.6154481702053934,0.07283444018969451,0.085743315152007
6804,3.86419003383662e-05,2.9109180246144164e-10,0.058246033472581615,0.9622430447988133,7.450876177771824e-15,0.02066500971532938,6.451320461743947e-05,3.505485554168801e-07,8.754929432580047e-33,0.9999634473390256,6.589786103256582e-20,1.103291087865308e-33
7178,0.0006399234052716343,0.00019769341673144761,0.0045793687041183135,0.001234942393537659,6.251718126512174e-06,0.00037129054248258194,0.000345564305323458,4.096174788754867e-05,4.564885592179416e-12,0.9079821306455765,6.684320976603616e-06,1.5715687422717595e-10
13383621,0.6411320791945703,0.000128628930038066,0.08524152497766418,0.8395093023222535,0.0009379840347307738,0.8781497684625793,0.27625919408450167,0.2155135112089562,2.023900965664501e-10,0.9968470461177518,1.0242073715653244e-05,3.99643124963872e-11
20474921,0.0066217456009020495,0.08768718268765682,0.0046834399544832,0.0006244453170330371,0.03356710401925541,0.002982147429680102,0.014770533910999813,0.01652878973416725,0.06195193334607921,0.015376921319862864,0.04140263685344997,0.06602086471903831
10472026,0.00037113733317736857,1.6122977560078743e-11,0.01256935049705857,0.10200966665621475,4.214232968319266e-13,0.0006369908447299606,1.469654516284913e-05,4.590530390200104e-07,1.065358711390493e-28,0.9999274130512487,7.996885728951764e-22,1.2470670407512782e-30
7135,0.00012725800721733195,3.822916846510361e-08,0.1496089197810883,0.023748137235382463,8.878088731084129e-12,0.0020936134400323385,0.00020535543749909387,2.2537376417608957e-05,1.665703052832479e-28,0.9994149121417154,2.6102362979421974e-14,2.104513927179537e-28
2689368,8.47320168033951e-05,6.580068165479558e-14,0.4388841448373037,0.9999999508363556,2.615849645912864e-11,0.9484534726248565,0.00010196695228697666,4.213278116426862e-07,1.4025782815072169e-40,0.9999999999441229,1.4392754380238935e-20,3.7287931644794963e-39
7052,0.9993837467767568,0.19852049650588272,0.985985072469791,0.9998367869837564,0.3033421432484249,0.9991638406718295,0.9656274131516429,0.9972835789693044,5.673809046951576e-06,0.9997135448572382,0.005899951960786292,5.4325049598316025e-06
7383,0.5961762508273831,0.004984292589131371,0.8018574875974706,0.9956049803442852,0.0031738125765092226,0.9143811624392644,0.7221526480336006,0.7783153560382635,3.1204621752314325e-10,0.9975908651540257,4.075936534669557e-05,3.961206661119741e-09
7386,0.05904535156590379,0.0025200608099036543,0.0012614914481855611,0.008987661124946082,0.00012444911444070507,0.005584592169155986,0.002506968205618526,0.003578518917347857,7.6076193320843374e-06,0.1973255328884576,0.00020323779899955661,1.2007146740155409e-05
